Constituency Ainm,Year,Full Name,
Dublin West,2020,Peter Casey,M
Dublin West,2020,Jack Chambers,M
Dublin West,2020,Ruth Coppinger,F
Dublin West,2020,Emer Currie,F
Dublin West,2020,Paul Donnelly,M
Dublin West,2020,Edward MacManus,M
Dublin West,2020,Roderic O'Gorman,M
Dublin West,2020,Sean O'Leary,M
Dublin West,2020,Stephen O'Loughlin,M
Dublin West,2020,Aengus ï¿½ Maolï¿½in,M
Dublin West,2020,Leo Varadkar,M
Dun Laoghaire,2020,Richard Boyd Barrett,M
Dun Laoghaire,2020,Jennifer Carroll MacNeill,F
Dun Laoghaire,2020,Cormac Devlin,M
Dun Laoghaire,2020,Mary Hanafin,F
Dun Laoghaire,2020,Mary Mitchell O'Connor,F
Dun Laoghaire,2020,Shane O'Brien,M
Dun Laoghaire,2020,Juliet O'Connell,F
Dun Laoghaire,2020,Con ï¿½g ï¿½ Laoghaire,M
Dun Laoghaire,2020,Dave Quinn,M
Dun Laoghaire,2020,Ossian Smyth,M
Dun Laoghaire,2020,Mairï¿½ad Tï¿½ibï¿½n,F
Dun Laoghaire,2020,Barry Ward,M
Dun Laoghaire,2020,John Waters,M
Galway East,2020,Seï¿½n CANNEY,M
Galway East,2020,Ciaran CANNON,M
Galway East,2020,Donagh Mark KILLILEA,M
Galway East,2020,Deaglï¿½n MAC CANNA,M
Galway East,2020,Eoin MADDEN,M
Galway East,2020,Louis O'HARA,M
Galway East,2020,David O'REILLY,M
Galway East,2020,Anne RABBITTE,F
Galway East,2020,Peter REID,M
Galway East,2020,Peter ROCHE,M
Galway East,2020,Marian SPELMAN,F
Galway East,2020,"Martin ""Jonesy"" WARD",M
Galway West,2020,Conor Burke,M
Galway West,2020,Catherine Connolly,F
Galway West,2020,Cormac ï¿½ Corcorï¿½in,M
Galway West,2020,Ollie Crowe,M
Galway West,2020,Mike Cubbard,M
Galway West,2020,ï¿½amon Cuï¿½v ï¿½,M
Galway West,2020,Mairï¿½ad Farrell,F
Galway West,2020,Daragh O Flaherty,M
Galway West,2020,Noel Grealish,M
Galway West,2020,Seï¿½n Kyne,M
Galway West,2020,Joe Loughnane,M
Galway West,2020,Nï¿½all Mc Nelis,M
Galway West,2020,Hildegarde Naughton,F
Galway West,2020,Pauline O'Reilly,F
Galway West,2020,Niall ï¿½ Tuathail,M
Kerry,2020,John Bowler,M
Kerry,2020,John Brassil,M
Kerry,2020,Ted Cronin,M
Kerry,2020,Pa Daly,M
Kerry,2020,Norma Foley,F
Kerry,2020,Sonny Foran,M
Kerry,2020,Brendan Griffin,M
Kerry,2020,Danny Healy-Rae,M
Kerry,2020,Michael Healy-Rae,M
Kerry,2020,Mike Kennelly,M
Kerry,2020,Norma Moriarty,F
Kerry,2020,Cleo Murphy,F
Kerry,2020,Sean O'Leary,M
Kildare North,2020,Rï¿½ada Cronin,F
Kildare North,2020,Bernard Durkan,M
Kildare North,2020,James Lawless,M
Kildare North,2020,Anthony Lawlor,M
Kildare North,2020,Paul Mahon,M
Kildare North,2020,Vincent P. Martin,M
Kildare North,2020,David Monaghan,M
Kildare North,2020,Catherine Murphy,F
Kildare North,2020,Sï¿½amus ï¿½ Riain,M
Kildare North,2020,Frank O'Rourke,M
Kildare North,2020,Emmet Stagg,M
Kildare North,2020,Wayne Swords,M
Kildare South,2020,Cathal Berry,M
Kildare South,2020,Suzanne Doyle,F
Kildare South,2020,Linda Hayden,F
Kildare South,2020,Martin Heydon,M
Kildare South,2020,Ronan Maher,M
Kildare South,2020,Fiona McLoughlin Healy,F
Kildare South,2020,Anita Mhic Gib,F
Kildare South,2020,Fiona O'Loughlin,F
Kildare South,2020,Patricia Ryan,F
Kildare South,2020,Rï¿½isï¿½n Uï¿½ Bhroin,F
Kildare South,2020,Mark Wall,M
Laois-Offaly,2020,Marcella Corcoran Kennedy,F
Laois-Offaly,2020,Barry Cowen,M
Laois-Offaly,2020,John Daly,M
Laois-Offaly,2020,Charlie Flanagan,M
Laois-Offaly,2020,Pauline Flanagan,F
Laois-Offaly,2020,Sean Fleming,M
Laois-Offaly,2020,Pippa Hackett,F
Laois-Offaly,2020,John Leahy,M
Laois-Offaly,2020,Carol Nolan,F
Laois-Offaly,2020,Peter Ormond,M
Laois-Offaly,2020,Noel O'Rourke,M
Laois-Offaly,2020,Ken Smollen,M
Laois-Offaly,2020,Brian Stanley,M
Laois-Offaly,2020,Noel Touhy,M
Laois-Offaly,2020,Stephen Tynan,M
Limerick City,2020,Rebecca Barrett,F
Limerick City,2020,Jenny Blake,F
Limerick City,2020,Maria Byrne,F
Limerick City,2020,Mary Cahillane,F
Limerick City,2020,James Collins,M
Limerick City,2020,Frankie Daly,M
Limerick City,2020,Brian Leddin,M
Limerick City,2020,Willie O'Dea,M
Limerick City,2020,Kieran O'Donnell,M
Limerick City,2020,Jan O'Sullivan,F
Limerick City,2020,Maurice Quinlivan,M
Limerick City,2020,Michael Ryan,M
Limerick County,2020,Michael Collins,M
Limerick County,2020,Niall Collins,M
Limerick County,2020,Con Cremin,M
Limerick County,2020,John Dalton,M
Limerick County,2020,Claire Keating,F
Limerick County,2020,Tom Neville,M
Limerick County,2020,Cristin Ni Mhaoldhomhnaigh,F
Limerick County,2020,Seighin O'Ceallaigh,M
Limerick County,2020,Robert O'Donnell,M
Limerick County,2020,Conor O'Donoghue,M
Limerick County,2020,Richard O'Donoghue,M
Limerick County,2020,Patrick O'Donovan,M
Longford-Westmeath,2020,Peter Burke,M
Longford-Westmeath,2020,Micheï¿½l Carrigy,M
Longford-Westmeath,2020,Sorca Clarke,F
Longford-Westmeath,2020,Joe Flaherty,M
Longford-Westmeath,2020,Louise Heavin,F
Longford-Westmeath,2020,Donal Jackson,M
Longford-Westmeath,2020,Anna Kavanagh,F
Longford-Westmeath,2020,Frank Kilbride,M
Longford-Westmeath,2020,Alan Budda Mangan,M
Longford-Westmeath,2020,Gab McFadden,F
Longford-Westmeath,2020,Kevin Boxer Moran,M
Longford-Westmeath,2020,Dom Parker,M
Longford-Westmeath,2020,James Reynolds,M
Longford-Westmeath,2020,Barbara Smyth,F
Longford-Westmeath,2020,Robert Troy,M
Louth,2020,Topanga Bird,F
Louth,2020,David Bradley,M
Louth,2020,Declan Breathnach,M
Louth,2020,Albert D Byrne,M
Louth,2020,James Byrne,M
Louth,2020,Mark Dearey,M
Louth,2020,Audrey Fergus,F
Louth,2020,Peter Fitzpatrick,M
Louth,2020,John McGahon,M
Louth,2020,Imelda Munster,F
Louth,2020,Ged Nash,M
Louth,2020,Fergus O'Dowd,M
Louth,2020,Cathal ï¿½ Murchï¿½,M
Louth,2020,Ruairï¿½ ï¿½ Murchï¿½,M
Louth,2020,Eamon Sweeney,M
Mayo,2020,Dara Calleary,M
Mayo,2020,Lisa Chambers,F
Mayo,2020,Rose Conway-Walsh,F
Mayo,2020,Joe Daly,M
Mayo,2020,Grï¿½inne Sinï¿½ad De Barra,F
Mayo,2020,Alan Dillon,M
Mayo,2020,Sean Forkin,M
Mayo,2020,Paul Lawless,M
Mayo,2020,Gerry Loftus,M
Mayo,2020,Stephen Manning,M
Mayo,2020,Saoirse McHugh,F
Mayo,2020,Michelle Mulherin,F
Mayo,2020,Daithï¿½ ï¿½ Fallamhï¿½in,M
Mayo,2020,Michael Ring,M
Mayo,2020,Kamal Uddin,M
Meath East,2020,Joe Bonner,M
Meath East,2020,Thomas Byrne,M
Meath East,2020,Regina Doherty,F
Meath East,2020,Deirdre Geraghty-Smith,F
Meath East,2020,Annie Hoey,F
Meath East,2020,Andrew Keegan,M
Meath East,2020,Sharon Keogan,M
Meath East,2020,Seï¿½n McCabe,M
Meath East,2020,Seamus McDonagh,M
Meath East,2020,Helen McEntee,F
Meath East,2020,Darren O'Rourke,M
Meath East,2020,Emer Tï¿½ibï¿½n,F
Meath West,2020,Shane Cassells,M
Meath West,2020,Damien English,M
Meath West,2020,Noel French,M
Meath West,2020,Johnny Guirke,M
Meath West,2020,John Malone,M
Meath West,2020,Sï¿½amus McMenamin,M
Meath West,2020,Ronan Moore,M
Meath West,2020,Sarah Reilly,F
Meath West,2020,Peadar Tï¿½ibï¿½n,M
Roscommon-Galway,2020,Aisling Dolan,F
