Constituency,Surname,Firstname,Gender,Party,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm,,Year,Full Name
Cork East,Quaide,Liam,M,Green Party/ Comhaontas Glas,G.P.,8,0,0,3749,Excluded,170,4,Corcaigh Thoir,,2020,Liam Quaide
Cork East,Sherlock,Seï¿½n,M,The Labour Party,LAB.,8,0,0,6610,Elected,171,4,Corcaigh Thoir,,2020,Seï¿½n Sherlock
Cork East,Shinnick,Frank,M,Irish Freedom Party,I.F.P.,8,0,2130,455,Excluded,172,4,Corcaigh Thoir,,2020,Frank Shinnick
Cork East,Stanton,David,M,Fine Gael,F.G.,8,600,0,6143,Elected,173,4,Corcaigh Thoir,,2020,David Stanton
Cork North Central,Barry,Mick,M,Solidarity - People Before Profit,S.P.B.P.,14,960,0,3703,Elected,161,5,Corcaigh Thuaidh-Lï¿½r,,2020,Mick Barry
Cork North Central,Burke,Colm,M,Fine Gael,F.G.,14,0,0,6646,Elected,162,5,Corcaigh Thuaidh-Lï¿½r,,2020,Colm Burke
Cork North Central,Coughlan,James,M,Workers Party,W.P.,14,0,2263,180,Excluded,163,5,Corcaigh Thuaidh-Lï¿½r,,2020,James Coughlan
Cork North Central,Fitzgerald,Tony,M,Fianna Fáil,F.F.,14,0,0,3338,Excluded,164,5,Corcaigh Thuaidh-Lï¿½r,,2020,Tony Fitzgerald
Cork North Central,Gould,Thomas,M,Sinn Féin,S.F.,14,0,0,13811,Elected,165,5,Corcaigh Thuaidh-Lï¿½r,,2020,Thomas Gould
Cork North Central,Halpin,Sinead,F,Social Democrats,S.D.,14,0,1087,1121,Excluded,166,5,Corcaigh Thuaidh-Lï¿½r,,2020,Sinead Halpin
Cork North Central,Hogan,Timothy Joseph (T.J.),M,Non-Party,NON-P.,14,0,2136,257,Excluded,167,5,Corcaigh Thuaidh-Lï¿½r,,2020,Timothy Joseph (T.J.) Hogan
Cork North Central,Keohane,Ger,M,Non-Party,NON-P.,14,0,1724,694,Excluded,168,5,Corcaigh Thuaidh-Lï¿½r,,2020,Ger Keohane
Cork North Central,Maher,John,M,The Labour Party,LAB.,14,0,0,2561,Excluded,169,5,Corcaigh Thuaidh-Lï¿½r,,2020,John Maher
Cork North Central,Moran,Oliver,M,Green Party/ Comhaontas Glas,G.P.,14,0,0,3205,Excluded,170,5,Corcaigh Thuaidh-Lï¿½r,,2020,Oliver Moran
Cork North Central,Murphy,Sandra,F,Fianna Fáil,F.F.,14,0,1261,1218,Excluded,171,5,Corcaigh Thuaidh-Lï¿½r,,2020,Sandra Murphy
Cork North Central,O Cadhla,Diarmaid,M,Non-Party,NON-P.,14,0,2302,230,Excluded,172,5,Corcaigh Thuaidh-Lï¿½r,,2020,Diarmaid O Cadhla
Cork North Central,O'Donovan,Stephen James,M,Non-Party,NON-P.,14,0,2507,44,Excluded,173,5,Corcaigh Thuaidh-Lï¿½r,,2020,Stephen James O'Donovan
Cork North Central,O'Flynn,Kenneth,M,Non-Party,NON-P.,14,3076,0,3994,,174,5,Corcaigh Thuaidh-Lï¿½r,,2020,Kenneth O'Flynn
Cork North Central,O'Leary,Sean,M,Non-Party,NON-P.,14,0,2438,137,Excluded,175,5,Corcaigh Thuaidh-Lï¿½r,,2020,Sean O'Leary
Cork North Central,O'Neill,Lorraine,F,Fine Gael,F.G.,14,0,1369,1156,Excluded,176,5,Corcaigh Thuaidh-Lï¿½r,,2020,Lorraine O'Neill
Cork North Central,O'Sullivan,Padraig,M,Fianna Fáil,F.F.,14,0,0,8158,Elected,177,5,Corcaigh Thuaidh-Lï¿½r,,2020,Padraig O'Sullivan
Cork North Central,Toomey,Finian,M,Aontu,A.,14,0,943,1325,Excluded,178,5,Corcaigh Thuaidh-Lï¿½r,,2020,Finian Toomey
Cork North West,CREED,MICHAEL,M,Fine Gael,F.G.,5,0,0,8338,Elected,161,6,Corcaigh Thiar Thuaidh,,2020,MICHAEL CREED
Cork North West,FINN,COLETTE,F,Green Party/ Comhaontas Glas,G.P.,5,0,0,3495,Excluded,162,6,Corcaigh Thiar Thuaidh,,2020,COLETTE FINN
Cork North West,KEALY,BECKY,F,Aontu,A.,5,0,0,3877,Excluded,163,6,Corcaigh Thiar Thuaidh,,2020,BECKY KEALY
Cork North West,McCARTHY,CIARï¿½N,M,Social Democrats,S.D.,5,3005,0,3845,,164,6,Corcaigh Thiar Thuaidh,,2020,CIARï¿½N McCARTHY
Cork North West,MOYNIHAN,AINDRIAS,M,Fianna Fáil,F.F.,5,420,0,9628,Elected,165,6,Corcaigh Thiar Thuaidh,,2020,AINDRIAS MOYNIHAN
Cork North West,MOYNIHAN,MICHAEL,M,Fianna Fáil,F.F.,5,353,0,8651,Elected,166,6,Corcaigh Thiar Thuaidh,,2020,MICHAEL MOYNIHAN
Cork North West,NIC DOMHNAILL,TARA,F,Irish Freedom Party,I.F.P.,5,0,1943,956,Excluded,167,6,Corcaigh Thiar Thuaidh,,2020,TARA NIC DOMHNAILL
Cork North West,O'LEARY,SEAN,M,Non-Party,NON-P.,5,0,2384,515,Excluded,168,6,Corcaigh Thiar Thuaidh,,2020,SEAN O'LEARY
Cork North West,O'SHEA,JOHN PAUL,M,Fine Gael,F.G.,5,0,0,7065,Excluded,169,6,Corcaigh Thiar Thuaidh,,2020,JOHN PAUL O'SHEA
Cork South Central,Bogue,Lorna,F,Green Party/ Comhaontas Glas,G.P.,8,2250,0,5379,,161,7,Corcaigh Theas-Lï¿½r,,2020,Lorna Bogue
Cork South Central,Buttimer,Jerry,M,Fine Gael,F.G.,8,0,0,2828,Excluded,162,7,Corcaigh Theas-Lï¿½r,,2020,Jerry Buttimer
Cork South Central,Coveney,Simon,M,Fine Gael,F.G.,8,0,0,9327,Elected,163,7,Corcaigh Theas-Lï¿½r,,2020,Simon Coveney
Cork South Central,Daly,Anna,F,Aontu,A.,8,0,1037,1350,Excluded,164,7,Corcaigh Theas-Lï¿½r,,2020,Anna Daly
Cork South Central,Dineen,Paudie,M,Non-Party,NON-P.,8,0,1960,429,Excluded,165,7,Corcaigh Theas-Lï¿½r,,2020,Paudie Dineen
Cork South Central,Donohoe,John,M,Non-Party,NON-P.,8,0,2713,103,Excluded,166,7,Corcaigh Theas-Lï¿½r,,2020,John Donohoe
Cork South Central,Kennedy,Ciara,F,The Labour Party,LAB.,8,0,1151,1263,Excluded,167,7,Corcaigh Theas-Lï¿½r,,2020,Ciara Kennedy
Cork South Central,Martin,Micheï¿½l,M,Fianna Fáil,F.F.,8,0,0,11023,Elected,168,7,Corcaigh Theas-Lï¿½r,,2020,Micheï¿½l Martin
Cork South Central,McGrath,Michael,M,Fianna Fáil,F.F.,8,620,0,9236,Elected,169,7,Corcaigh Theas-Lï¿½r,,2020,Michael McGrath
Cork South Central,Murray Walsh,Bobby,M,Solidarity - People Before Profit,S.P.B.P.,8,0,481,764,Excluded,170,7,Corcaigh Theas-Lï¿½r,,2020,Bobby Murray Walsh
Cork South Central,O'Brien,William,M,Non-Party,NON-P.,8,0,2477,202,Excluded,171,7,Corcaigh Theas-Lï¿½r,,2020,William O'Brien
Cork South Central,O'Dwyer,Patricia,F,Social Democrats,S.D.,8,0,1419,1077,Excluded,172,7,Corcaigh Theas-Lï¿½r,,2020,Patricia O'Dwyer
Cork South Central,ï¿½ Laoghaire,Donnchadh,M,Sinn Féin,S.F.,8,0,0,14057,Elected,173,7,Corcaigh Theas-Lï¿½r,,2020,Donnchadh ï¿½ Laoghaire
Cork South Central,O'Leary,Sean,M,Non-Party,NON-P.,8,0,2700,102,Excluded,174,7,Corcaigh Theas-Lï¿½r,,2020,Sean O'Leary
Cork South West,Cairns,Holly,F,Social Democrats,S.D.,8,1007,0,4696,Elected,161,8,Corcaigh Thiar Theas,,2020,Holly Cairns
Cork South West,Coakley,Karen,F,Fine Gael,F.G.,8,0,25,2526,Excluded,162,8,Corcaigh Thiar Theas,,2020,Karen Coakley
Cork South West,Coleman,Alan,M,Non-Party,NON-P.,8,0,747,1801,Excluded,163,8,Corcaigh Thiar Theas,,2020,Alan Coleman
Cork South West,Collins,Michael,M,Non-Party,NON-P.,8,0,0,11712,Elected,164,8,Corcaigh Thiar Theas,,2020,Michael Collins
Cork South West,Connolly,Bernadette,F,Green Party/ Comhaontas Glas,G.P.,8,0,1007,1647,Excluded,165,8,Corcaigh Thiar Theas,,2020,Bernadette Connolly
Cork South West,Hayes,Paul,M,Sinn Féin,S.F.,8,0,0,4777,Excluded,166,8,Corcaigh Thiar Theas,,2020,Paul Hayes
Cork South West,Lombard,Tim,M,Fine Gael,F.G.,8,1559,0,5865,,167,8,Corcaigh Thiar Theas,,2020,Tim Lombard
Cork South West,Murphy O'Mahony,Margaret,F,Fianna Fáil,F.F.,8,0,0,4077,Excluded,168,8,Corcaigh Thiar Theas,,2020,Margaret Murphy O'Mahony
Cork South West,O'Connor,Kevin,M,Solidarity - People Before Profit,S.P.B.P.,8,0,2337,427,Excluded,169,8,Corcaigh Thiar Theas,,2020,Kevin O'Connor
Cork South West,O'Leary,Sean,M,Non-Party,NON-P.,8,0,2737,33,Excluded,170,8,Corcaigh Thiar Theas,,2020,Sean O'Leary
Cork South West,O'Sullivan,Christopher,M,Fianna Fáil,F.F.,8,0,0,6262,Elected,171,8,Corcaigh Thiar Theas,,2020,Christopher O'Sullivan
Cork South West,Ruane,Mairead,F,Aontu,A.,8,0,2241,515,Excluded,172,8,Corcaigh Thiar Theas,,2020,Mairead Ruane
Donegal,Casey,Peter,M,Non-Party,NON-P.,9,0,1096,1143,Excluded,161,9,Dï¿½n na nGall,,2020,Peter Casey
Donegal,Doherty,Pearse,M,Sinn Féin,S.F.,9,0,0,21044,Elected,162,9,Dï¿½n na nGall,,2020,Pearse Doherty
Donegal,Gallagher,Pat The Cope,M,Fianna Fáil,F.F.,9,1835,0,7469,Excluded,163,9,Dï¿½n na nGall,,2020,Pat The Cope Gallagher
Donegal,Harley,Martin M.,M,Fine Gael,F.G.,9,0,0,3056,Excluded,164,9,Dï¿½n na nGall,,2020,Martin M. Harley
Donegal,MacLochlainn,Pï¿½draig,M,Sinn Féin,S.F.,9,0,0,13891,Elected,165,9,Dï¿½n na nGall,,2020,Pï¿½draig MacLochlainn
Donegal,McConalogue,Charlie,M,Fianna Fáil,F.F.,9,1477,0,8347,Elected,166,9,Dï¿½n na nGall,,2020,Charlie McConalogue
Donegal,McConnell,Niall,M,Non-Party,NON-P.,9,0,2396,580,Excluded,167,9,Dï¿½n na nGall,,2020,Niall McConnell
Donegal,Mc Guinness,Arthur Desmond,M,Non-Party,NON-P.,9,0,3119,56,Excluded,168,9,Dï¿½n na nGall,,2020,Arthur Desmond Mc Guinness
Donegal,McHugh,Joe,M,Fine Gael,F.G.,9,805,0,7621,Elected,169,9,Dï¿½n na nGall,,2020,Joe McHugh
Donegal,O'Donnell,John,M,Non-Party,NON-P.,9,0,0,4735,Excluded,170,9,Dï¿½n na nGall,,2020,John O'Donnell
Donegal,Pringle,Thomas,M,Non-Party,NON-P.,9,664,0,5472,Elected,172,9,Dï¿½n na nGall,,2020,Thomas Pringle
Donegal,Sweeney,Mary T.,F,Aontu,A.,9,0,0,2382,Excluded,173,9,Dï¿½n na nGall,,2020,Mary T. Sweeney
Donegal,White,Miichael,M,Green Party/ Comhaontas Glas,G.P.,9,0,889,1656,Excluded,175,9,Dï¿½n na nGall,,2020,Miichael White
Dublin Bay North,Bruton,Richard,M,Fine Gael,F.G.,14,0,0,11156,Elected,161,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Richard Bruton
Dublin Bay North,Burke,Michael Paul,M,Non-Party,NON-P.,14,0,2205,370,Excluded,162,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Michael Paul Burke
Dublin Bay North,Creaven,Conor,M,Non-Party,NON-P.,14,0,2497,418,Excluded,163,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Conor Creaven
Dublin Bay North,Garrigan,Brian,M,Non-Party,NON-P.,14,0,2396,372,Excluded,164,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Brian Garrigan
Dublin Bay North,Gilroy,Ben,M,Irish Freedom Party,I.F.P.,14,0,1225,771,Excluded,165,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Ben Gilroy
Dublin Bay North,Haughey,Seï¿½n,M,Fianna Fáil,F.F.,14,980,0,6651,Elected,166,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Seï¿½n Haughey
Dublin Bay North,Healy,David,M,Green Party/ Comhaontas Glas,G.P.,14,3408,0,5042,,167,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,David Healy
Dublin Bay North,Heney,Deirdre,F,Fianna Fáil,F.F.,14,0,0,3643,Excluded,168,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Deirdre Heney
Dublin Bay North,Lyons,John,M,Non-Party,NON-P.,14,0,0,1882,Excluded,169,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,John Lyons
Dublin Bay North,McEvoy,Linda,F,Non-Party,NON-P.,14,0,2658,202,Excluded,170,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Linda McEvoy
Dublin Bay North,Mitchell,Denise,F,Sinn Féin,S.F.,14,0,0,21344,Elected,171,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Denise Mitchell
Dublin Bay North,Mulvany,Bernard,M,Solidarity - People Before Profit,S.P.B.P.,14,0,0,1409,Excluded,172,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Bernard Mulvany
Dublin Bay North,Noone,Catherine,F,Fine Gael,F.G.,14,0,572,2279,Excluded,173,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Catherine Noone
Dublin Bay North,O'Brien,Michael,M,Solidarity - People Before Profit,S.P.B.P.,14,0,821,722,Excluded,174,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Michael O'Brien
Dublin Bay North,O'Callaghan,Cian,M,Social Democrats,S.D.,14,0,0,6229,Elected,175,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Cian O'Callaghan
Dublin Bay North,ï¿½ Conarï¿½in,Proinsias,M,Aontu,A.,14,0,1810,973,Excluded,176,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Proinsias ï¿½ Conarï¿½in
Dublin Bay North,O'Leary,Sean,M,Non-Party,NON-P.,14,0,2949,16,Excluded,177,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Sean O'Leary
Dublin Bay North,ï¿½'Rï¿½ordï¿½in,Aodhï¿½n,M,The Labour Party,LAB.,14,652,0,8127,Elected,178,13,Cuan Bhaile ï¿½tha Cliath Thuaidh,,2020,Aodhï¿½n ï¿½'Rï¿½ordï¿½in
Dublin Bay South,Andrews,Chris,M,Sinn Féin,S.F.,8,0,0,6361,Elected,161,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Chris Andrews
Dublin Bay South,Burke,Norma,F,Non-Party,NON-P.,8,0,1864,110,Excluded,162,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Norma Burke
Dublin Bay South,Dooley,Peter,M,Non-Party,NON-P.,8,0,1663,281,Excluded,163,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Peter Dooley
Dublin Bay South,Durcan,Sarah,F,Social Democrats,S.D.,8,0,0,1801,Excluded,164,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Sarah Durcan
Dublin Bay South,Flynn,Mannix,M,Non-Party,NON-P.,8,0,1227,645,Excluded,165,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Mannix Flynn
Dublin Bay South,Gilbourne,Jacqui,F,Renua Ireland,R.I.,8,0,1133,634,Excluded,166,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Jacqui Gilbourne
Dublin Bay South,Humphreys,Kevin,M,The Labour Party,LAB.,8,0,0,3121,Excluded,167,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Kevin Humphreys
Dublin Bay South,Keigher,John Dominic,M,Non-Party,NON-P.,8,0,1930,48,Excluded,168,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,John Dominic Keigher
Dublin Bay South,Mooney,Annette,F,Solidarity - People Before Profit,S.P.B.P.,8,0,698,1002,Excluded,169,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Annette Mooney
Dublin Bay South,Murphy,Eoghan,M,Fine Gael,F.G.,8,317,0,6346,Elected,170,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Eoghan Murphy
Dublin Bay South,O'Callaghan,Jim,M,Fianna Fáil,F.F.,8,761,0,5474,Elected,171,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Jim O'Callaghan
Dublin Bay South,O'Connell,Kate,F,Fine Gael,F.G.,8,1649,0,4624,,172,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Kate O'Connell
Dublin Bay South,O'Leary,Sean,M,Non-Party,NON-P.,8,0,1968,11,Excluded,173,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Sean O'Leary
Dublin Bay South,Ryan,Eamonn,M,Green Party/ Comhaontas Glas,G.P.,8,0,0,8888,Elected,174,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Eamonn Ryan
Dublin Bay South,Scallan,Ben,M,Irish Freedom Party,I.F.P.,8,0,1725,245,Excluded,175,17,Cuan Bhaile ï¿½tha Cliath Theas,,2020,Ben Scallan
Dublin Central,Brien,Gillian,F,Solidarity - People Before Profit,S.P.B.P.,9,0,0,776,Excluded,161,11,Baile ï¿½tha Cliath Lï¿½ir,,2020,Gillian Brien
Dublin Central,Burke,Christy,M,Non-Party,NON-P.,9,1120,0,1509,,162,11,Baile ï¿½tha Cliath Lï¿½ir,,2020,Christy Burke
Dublin Central,Clohessy,Patrick,M,Non-Party,NON-P.,9,0,1526,33,Excluded,163,11,Baile ï¿½tha Cliath Lï¿½ir,,2020,Patrick Clohessy
Dublin Central,Costello,Joe,M,The Labour Party,LAB.,9,0,0,1702,Excluded,164,11,Baile ï¿½tha Cliath Lï¿½ir,,2020,Joe Costello
Dublin Central,Donohoe,Paschal,M,Fine Gael,F.G.,9,162,0,4181,Elected,165,11,Baile ï¿½tha Cliath Lï¿½ir,,2020,Paschal Donohoe
Dublin Central,Duffy,Deirdre,F,Fine Gael,F.G.,9,0,982,570,Excluded,166,11,Baile ï¿½tha Cliath Lï¿½ir,,2020,Deirdre Duffy
Dublin Central,Fitzpatrick,Mary,F,Fianna Fáil,F.F.,9,0,0,3228,Excluded,167,11,Baile ï¿½tha Cliath Lï¿½ir,,2020,Mary Fitzpatrick
Dublin Central,Gannon,Gary,M,Social Democrats,S.D.,9,570,0,2912,Elected,168,11,Baile ï¿½tha Cliath Lï¿½ir,,2020,Gary Gannon
Dublin Central,Harrold,Rita,F,Solidarity - People Before Profit,S.P.B.P.,9,0,1155,201,Excluded,169,11,Baile ï¿½tha Cliath Lï¿½ir,,2020,Rita Harrold
